task url:
* task-4A   https://codeforces.com/problemset/problem/4/A
* task-1A   https://codeforces.com/problemset/problem/1/A
* task-50A  https://codeforces.com/problemset/problem/50/A
* task-112A https://codeforces.com/problemset/problem/112/A
* task-118A https://codeforces.com/problemset/problem/118/A
* task-158A https://codeforces.com/problemset/problem/158/A
* task-263A https://codeforces.com/problemset/problem/263/A
* task-266A https://codeforces.com/problemset/problem/266/A
* task-281A https://codeforces.com/problemset/problem/281/A
* task-339A https://codeforces.com/problemset/problem/339/A
